Command,X,Y,Z,F,Delay_ms,Cell_ID
A0,-87.72,-26.44,0.00,,,13
A1,-110.15,-38.72,0.70,13889,108,12
A1,-133.64,-45.66,0.00,20000,75,11
A0,-130.44,-60.35,0.00,,,19
A1,-122.16,-67.29,1.90,7500,200,20
A1,-117.36,-78.77,2.81,3333,450,28
A0,-78.37,-50.20,0.00,,,21
A1,-77.84,-49.93,2.64,27778,54,13
A1,-74.37,-55.27,3.05,2463,609,22
A1,-81.84,-67.82,1.79,10000,150,21
A1,-91.99,-80.91,0.00,24194,62,29
A0,-175.57,-102.27,0.00,,,33
A1,-163.28,-106.01,3.19,7177,209,34
A1,-144.33,-101.20,4.40,1620,926,35
A1,-137.12,-99.87,4.36,30000,50,27
A1,-110.95,-93.99,4.43,9434,159,28
A1,-90.39,-90.25,4.38,13889,108,29
A1,-59.41,-86.78,4.51,8982,167,30
A1,-37.78,-88.65,4.75,10000,150,31
A1,-22.56,-95.59,5.67,1216,1234,32
A1,-27.64,-89.19,0.00,7853,191,31
A0,-106.68,-43.52,0.00,,,12
A1,-100.80,-57.68,3.12,3106,483,20
A1,-98.66,-66.76,3.36,13761,109,21
A1,-94.93,-89.45,3.85,5639,266,29
A1,-95.19,-111.62,4.00,5976,251,37
A1,-96.53,-137.25,3.95,5000,300,45
A1,-99.73,-159.68,3.80,6000,250,53
A1,-101.07,-166.89,3.76,15000,100,52
A1,-109.08,-182.38,4.37,1579,950,60
A1,-124.57,-166.62,0.00,6198,242,52
