Command,X,Y,Z,F,Delay_ms,Cell_ID
A0,-88.52,-26.44,0.00,,,13
A1,-98.40,-52.60,1.82,7177,209,21
A1,-107.21,-63.82,1.29,13889,108,20
A1,-126.44,-80.11,0.00,15000,100,27
A0,-117.89,-45.66,0.00,,,12
A1,-105.61,-51.54,1.36,5725,262,20
A1,-91.99,-61.42,2.01,5792,259,21
A0,-87.98,-85.71,0.00,,,29
A1,-94.39,-107.34,2.01,4190,358,37
A1,-100.80,-118.02,1.84,15000,100,36
A1,-114.15,-136.18,1.53,9934,151,44
A1,-126.17,-149.00,1.36,15000,100,43
A1,-139.79,-159.95,1.00,15000,100,51
A1,-163.28,-170.09,0.00,15000,100,50
A0,-130.17,-103.07,0.00,,,35
A1,-114.15,-115.62,2.33,2646,567,36
A1,-88.25,-139.39,2.84,6000,250,45
A1,-77.57,-150.33,3.01,15000,100,53
A1,-62.62,-166.36,3.33,2727,550,54
A1,-36.45,-172.76,1.87,5976,251,55
A1,-15.09,-175.70,0.00,24194,62,64
