被験者グループ,被験者ID(記入用),通し番号,ブロック,条件,条件詳細,文字ID,文字,完了チェック
Group1,004,1,第1ブロック,A,提案(両方),1,刁 (チョウ),
Group1,004,2,第1ブロック,A,提案(両方),2,爻 (コウ),
Group1,004,3,第1ブロック,A,提案(両方),3,乎 (コ),
Group1,004,4,第2ブロック,B,触覚のみ,2,爻 (コウ),
Group1,004,5,第2ブロック,B,触覚のみ,3,乎 (コ),
Group1,004,6,第2ブロック,B,触覚のみ,1,刁 (チョウ),
Group1,004,7,第3ブロック,C,聴覚のみ,3,乎 (コ),
Group1,004,8,第3ブロック,C,聴覚のみ,1,刁 (チョウ),
Group1,004,9,第3ブロック,C,聴覚のみ,2,爻 (コウ),
Group2,005,1,第1ブロック,A,提案(両方),3,乎 (コ),
Group2,005,2,第1ブロック,A,提案(両方),1,刁 (チョウ),
Group2,005,3,第1ブロック,A,提案(両方),2,爻 (コウ),
Group2,005,4,第2ブロック,C,聴覚のみ,1,刁 (チョウ),
Group2,005,5,第2ブロック,C,聴覚のみ,2,爻 (コウ),
Group2,005,6,第2ブロック,C,聴覚のみ,3,乎 (コ),
Group2,005,7,第3ブロック,B,触覚のみ,2,爻 (コウ),
Group2,005,8,第3ブロック,B,触覚のみ,3,乎 (コ),
Group2,005,9,第3ブロック,B,触覚のみ,1,刁 (チョウ),
Group3,003,1,第1ブロック,B,触覚のみ,1,刁 (チョウ),
Group3,003,2,第1ブロック,B,触覚のみ,2,爻 (コウ),
Group3,003,3,第1ブロック,B,触覚のみ,3,乎 (コ),
Group3,003,4,第2ブロック,A,提案(両方),2,爻 (コウ),
Group3,003,5,第2ブロック,A,提案(両方),3,乎 (コ),
Group3,003,6,第2ブロック,A,提案(両方),1,刁 (チョウ),
Group3,003,7,第3ブロック,C,聴覚のみ,3,乎 (コ),
Group3,003,8,第3ブロック,C,聴覚のみ,1,刁 (チョウ),
Group3,003,9,第3ブロック,C,聴覚のみ,2,爻 (コウ),
Group4,006,1,第1ブロック,B,触覚のみ,1,刁 (チョウ),
Group4,006,2,第1ブロック,B,触覚のみ,2,爻 (コウ),
Group4,006,3,第1ブロック,B,触覚のみ,3,乎 (コ),
Group4,006,4,第2ブロック,C,聴覚のみ,2,爻 (コウ),
Group4,006,5,第2ブロック,C,聴覚のみ,3,乎 (コ),
Group4,006,6,第2ブロック,C,聴覚のみ,1,刁 (チョウ),
Group4,006,7,第3ブロック,A,提案(両方),3,乎 (コ),
Group4,006,8,第3ブロック,A,提案(両方),1,刁 (チョウ),
Group4,006,9,第3ブロック,A,提案(両方),2,爻 (コウ),
Group5,007,1,第1ブロック,C,聴覚のみ,3,乎 (コ),
Group5,007,2,第1ブロック,C,聴覚のみ,1,刁 (チョウ),
Group5,007,3,第1ブロック,C,聴覚のみ,2,爻 (コウ),
Group5,007,4,第2ブロック,A,提案(両方),1,刁 (チョウ),
Group5,007,5,第2ブロック,A,提案(両方),2,爻 (コウ),
Group5,007,6,第2ブロック,A,提案(両方),3,乎 (コ),
Group5,007,7,第3ブロック,B,触覚のみ,2,爻 (コウ),
Group5,007,8,第3ブロック,B,触覚のみ,3,乎 (コ),
Group5,007,9,第3ブロック,B,触覚のみ,1,刁 (チョウ),
Group6,002,1,第1ブロック,C,聴覚のみ,1,刁 (チョウ),
Group6,002,2,第1ブロック,C,聴覚のみ,2,爻 (コウ),
Group6,002,3,第1ブロック,C,聴覚のみ,3,乎 (コ),
Group6,002,4,第2ブロック,B,触覚のみ,2,爻 (コウ),
Group6,002,5,第2ブロック,B,触覚のみ,3,乎 (コ),
Group6,002,6,第2ブロック,B,触覚のみ,1,刁 (チョウ),
Group6,002,7,第3ブロック,A,提案(両方),3,乎 (コ),
Group6,002,8,第3ブロック,A,提案(両方),1,刁 (チョウ),
Group6,002,9,第3ブロック,A,提案(両方),2,爻 (コウ),
